"N_t","metric","mean","min","max","phase","strategy"
1,"Prop. kinship > 0.0442",NA,NA,NA,"Target site","Target site"
2,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
3,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
4,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
5,"Prop. kinship > 0.0442",1,1,1,"Target site","Target site"
1,"Mean kinship coefficient",NA,NA,NA,"Target site","Target site"
2,"Mean kinship coefficient",0.471173792554582,0.465980740448608,0.474431145711598,"Target site","Target site"
3,"Mean kinship coefficient",0.471138232505355,0.468520927981984,0.473904116835626,"Target site","Target site"
4,"Mean kinship coefficient",0.471152966744528,0.469839996857137,0.473220014927981,"Target site","Target site"
5,"Mean kinship coefficient",0.471142650108985,0.471142650108985,0.471142650108985,"Target site","Target site"
6,"Prop. kinship > 0.0442",0.666666666666667,0.666666666666667,0.666666666666667,"Additional sampling","1 indv. per site"
7,"Prop. kinship > 0.0442",0.476190476190476,0.476190476190476,0.476190476190476,"Additional sampling","1 indv. per site"
8,"Prop. kinship > 0.0442",0.357142857142857,0.357142857142857,0.357142857142857,"Additional sampling","1 indv. per site"
9,"Prop. kinship > 0.0442",0.277777777777778,0.277777777777778,0.277777777777778,"Additional sampling","1 indv. per site"
10,"Prop. kinship > 0.0442",0.222222222222222,0.222222222222222,0.222222222222222,"Additional sampling","1 indv. per site"
11,"Prop. kinship > 0.0442",0.181818181818182,0.181818181818182,0.181818181818182,"Additional sampling","1 indv. per site"
12,"Prop. kinship > 0.0442",0.151515151515152,0.151515151515152,0.151515151515152,"Additional sampling","1 indv. per site"
13,"Prop. kinship > 0.0442",0.128205128205128,0.128205128205128,0.128205128205128,"Additional sampling","1 indv. per site"
14,"Prop. kinship > 0.0442",0.10989010989011,0.10989010989011,0.10989010989011,"Additional sampling","1 indv. per site"
15,"Prop. kinship > 0.0442",0.0952380952380952,0.0952380952380952,0.0952380952380952,"Additional sampling","1 indv. per site"
16,"Prop. kinship > 0.0442",0.0833333333333333,0.0833333333333333,0.0833333333333333,"Additional sampling","1 indv. per site"
17,"Prop. kinship > 0.0442",0.0735294117647059,0.0735294117647059,0.0735294117647059,"Additional sampling","1 indv. per site"
18,"Prop. kinship > 0.0442",0.065359477124183,0.065359477124183,0.065359477124183,"Additional sampling","1 indv. per site"
6,"Mean kinship coefficient",0.314095100072657,0.314095100072657,0.314095100072657,"Additional sampling","1 indv. per site"
7,"Mean kinship coefficient",0.224353642909041,0.224353642909041,0.224353642909041,"Additional sampling","1 indv. per site"
8,"Mean kinship coefficient",0.16826523218178,0.16826523218178,0.16826523218178,"Additional sampling","1 indv. per site"
9,"Mean kinship coefficient",0.130872958363607,0.130872958363607,0.130872958363607,"Additional sampling","1 indv. per site"
10,"Mean kinship coefficient",0.104698366690886,0.104698366690886,0.104698366690886,"Additional sampling","1 indv. per site"
11,"Mean kinship coefficient",0.0856623000198155,0.0856623000198155,0.0856623000198155,"Additional sampling","1 indv. per site"
12,"Mean kinship coefficient",0.0713852500165129,0.0713852500165129,0.0713852500165129,"Additional sampling","1 indv. per site"
13,"Mean kinship coefficient",0.0604029038601263,0.0604029038601263,0.0604029038601263,"Additional sampling","1 indv. per site"
14,"Mean kinship coefficient",0.051773917594394,0.051773917594394,0.051773917594394,"Additional sampling","1 indv. per site"
15,"Mean kinship coefficient",0.0448707285818081,0.0448707285818081,0.0448707285818081,"Additional sampling","1 indv. per site"
16,"Mean kinship coefficient",0.0392618875090821,0.0392618875090821,0.0392618875090821,"Additional sampling","1 indv. per site"
17,"Mean kinship coefficient",0.0346428419197783,0.0346428419197783,0.0346428419197783,"Additional sampling","1 indv. per site"
18,"Mean kinship coefficient",0.0307936372620252,0.0307936372620252,0.0307936372620252,"Additional sampling","1 indv. per site"
6,"Prop. kinship > 0.0442",0.666666666666667,0.666666666666667,0.666666666666667,"Additional sampling","5 indv. per site"
7,"Prop. kinship > 0.0442",0.494619047619048,0.476190476190476,0.523809523809524,"Additional sampling","5 indv. per site"
8,"Prop. kinship > 0.0442",0.39675,0.357142857142857,0.464285714285714,"Additional sampling","5 indv. per site"
9,"Prop. kinship > 0.0442",0.343888888888889,0.277777777777778,0.444444444444444,"Additional sampling","5 indv. per site"
10,"Prop. kinship > 0.0442",0.309933333333333,0.222222222222222,0.444444444444444,"Additional sampling","5 indv. per site"
11,"Prop. kinship > 0.0442",0.250018181818182,0.181818181818182,0.363636363636364,"Additional sampling","5 indv. per site"
12,"Prop. kinship > 0.0442",0.214136363636364,0.151515151515152,0.318181818181818,"Additional sampling","5 indv. per site"
13,"Prop. kinship > 0.0442",0.190910256410256,0.128205128205128,0.294871794871795,"Additional sampling","5 indv. per site"
14,"Prop. kinship > 0.0442",0.176395604395604,0.10989010989011,0.285714285714286,"Additional sampling","5 indv. per site"
15,"Prop. kinship > 0.0442",0.168885714285714,0.0952380952380952,0.285714285714286,"Additional sampling","5 indv. per site"
16,"Prop. kinship > 0.0442",0.147058333333333,0.0833333333333333,0.25,"Additional sampling","5 indv. per site"
17,"Prop. kinship > 0.0442",0.130257352941176,0.0735294117647059,0.227941176470588,"Additional sampling","5 indv. per site"
18,"Prop. kinship > 0.0442",0.123130718954248,0.065359477124183,0.215686274509804,"Additional sampling","5 indv. per site"
19,"Prop. kinship > 0.0442",0.116538011695906,0.0584795321637427,0.210526315789474,"Additional sampling","5 indv. per site"
20,"Prop. kinship > 0.0442",0.112842105263158,0.0526315789473684,0.210526315789474,"Additional sampling","5 indv. per site"
21,"Prop. kinship > 0.0442",0.101866666666667,0.0476190476190476,0.19047619047619,"Additional sampling","5 indv. per site"
22,"Prop. kinship > 0.0442",0.0945627705627706,0.0432900432900433,0.177489177489178,"Additional sampling","5 indv. per site"
23,"Prop. kinship > 0.0442",0.088897233201581,0.0395256916996047,0.1699604743083,"Additional sampling","5 indv. per site"
24,"Prop. kinship > 0.0442",0.0859710144927536,0.036231884057971,0.166666666666667,"Additional sampling","5 indv. per site"
25,"Prop. kinship > 0.0442",0.0839633333333333,0.0333333333333333,0.166666666666667,"Additional sampling","5 indv. per site"
26,"Prop. kinship > 0.0442",0.0787107692307692,0.0307692307692308,0.153846153846154,"Additional sampling","5 indv. per site"
27,"Prop. kinship > 0.0442",0.0727065527065527,0.0284900284900285,0.136752136752137,"Additional sampling","5 indv. per site"
28,"Prop. kinship > 0.0442",0.0708703703703704,0.0291005291005291,0.134920634920635,"Additional sampling","5 indv. per site"
29,"Prop. kinship > 0.0442",0.0686231527093596,0.0246305418719212,0.130541871921182,"Additional sampling","5 indv. per site"
30,"Prop. kinship > 0.0442",0.0681954022988506,0.0252873563218391,0.128735632183908,"Additional sampling","5 indv. per site"
31,"Prop. kinship > 0.0442",0.0624666666666667,0.021505376344086,0.129032258064516,"Additional sampling","5 indv. per site"
32,"Prop. kinship > 0.0442",0.0594737903225806,0.0201612903225806,0.122983870967742,"Additional sampling","5 indv. per site"
33,"Prop. kinship > 0.0442",0.0566079545454545,0.0208333333333333,0.113636363636364,"Additional sampling","5 indv. per site"
34,"Prop. kinship > 0.0442",0.0575864527629234,0.0213903743315508,0.105169340463458,"Additional sampling","5 indv. per site"
35,"Prop. kinship > 0.0442",0.0556016806722689,0.0168067226890756,0.105882352941176,"Additional sampling","5 indv. per site"
36,"Prop. kinship > 0.0442",0.052084126984127,0.0174603174603175,0.0968253968253968,"Additional sampling","5 indv. per site"
37,"Prop. kinship > 0.0442",0.0502192192192192,0.0195195195195195,0.0915915915915916,"Additional sampling","5 indv. per site"
6,"Mean kinship coefficient",0.314095100072657,0.314095100072657,0.314095100072657,"Additional sampling","5 indv. per site"
7,"Mean kinship coefficient",0.232023848517061,0.224353642909041,0.247573012407214,"Additional sampling","5 indv. per site"
8,"Mean kinship coefficient",0.184885354592678,0.16826523218178,0.220241407388806,"Additional sampling","5 indv. per site"
9,"Mean kinship coefficient",0.158881279210915,0.130872958363607,0.211170851734502,"Additional sampling","5 indv. per site"
10,"Mean kinship coefficient",0.141356885310802,0.104698366690886,0.21135079828655,"Additional sampling","5 indv. per site"
11,"Mean kinship coefficient",0.114364323404424,0.0856623000198155,0.172923380416269,"Additional sampling","5 indv. per site"
12,"Mean kinship coefficient",0.0976328923883309,0.0713852500165129,0.151379147767506,"Additional sampling","5 indv. per site"
13,"Mean kinship coefficient",0.0866712080636422,0.0604029038601263,0.140489876777163,"Additional sampling","5 indv. per site"
14,"Mean kinship coefficient",0.0797434026751145,0.051773917594394,0.136134072789037,"Additional sampling","5 indv. per site"
15,"Mean kinship coefficient",0.0758267574575766,0.0448707285818081,0.136106918490322,"Additional sampling","5 indv. per site"
16,"Mean kinship coefficient",0.0660625630748327,0.0392618875090821,0.11923157438395,"Additional sampling","5 indv. per site"
17,"Mean kinship coefficient",0.058398827940809,0.0346428419197783,0.108434093585377,"Additional sampling","5 indv. per site"
18,"Mean kinship coefficient",0.0548326578837167,0.0307936372620252,0.102511655117248,"Additional sampling","5 indv. per site"
19,"Mean kinship coefficient",0.0518243887671856,0.0275522017607594,0.0997291803817464,"Additional sampling","5 indv. per site"
20,"Mean kinship coefficient",0.050299486351548,0.0247969815846834,0.0997912504955744,"Additional sampling","5 indv. per site"
21,"Mean kinship coefficient",0.0450404207524891,0.0224353642909041,0.090699257446831,"Additional sampling","5 indv. per site"
22,"Mean kinship coefficient",0.0420400369340106,0.0203957857190037,0.0830470453285243,"Additional sampling","5 indv. per site"
23,"Mean kinship coefficient",0.0393728378298637,0.0186222391347425,0.0801530536606731,"Additional sampling","5 indv. per site"
24,"Mean kinship coefficient",0.0379628036519885,0.017070385873514,0.0788507754351784,"Additional sampling","5 indv. per site"
25,"Mean kinship coefficient",0.0370173545216273,0.0157047550036328,0.0780575717444839,"Additional sampling","5 indv. per site"
26,"Mean kinship coefficient",0.0347226866694896,0.0144966969264303,0.0731519488753738,"Additional sampling","5 indv. per site"
27,"Mean kinship coefficient",0.0320708579384046,0.0134228675244725,0.0589043122878277,"Additional sampling","5 indv. per site"
28,"Mean kinship coefficient",0.0311495435682214,0.0129550807771464,0.0617348822174657,"Additional sampling","5 indv. per site"
29,"Mean kinship coefficient",0.0301124202682584,0.0116044987711573,0.0604637443580486,"Additional sampling","5 indv. per site"
30,"Mean kinship coefficient",0.0299215998172932,0.0112443498248201,0.0575364048219916,"Additional sampling","5 indv. per site"
31,"Mean kinship coefficient",0.0273258065558295,0.0101321000023438,0.0597052327002864,"Additional sampling","5 indv. per site"
32,"Mean kinship coefficient",0.0259534010653548,0.00949884375219729,0.0559481465385788,"Additional sampling","5 indv. per site"
33,"Mean kinship coefficient",0.0246621639713588,0.00982340496102245,0.0525732465248632,"Additional sampling","5 indv. per site"
34,"Mean kinship coefficient",0.0252289506341566,0.0101205679639013,0.0481983698227746,"Additional sampling","5 indv. per site"
35,"Mean kinship coefficient",0.0242745248776266,0.00791836386737791,0.0484406726248497,"Additional sampling","5 indv. per site"
36,"Mean kinship coefficient",0.0227330301419297,0.0077923446183381,0.0448769158908886,"Additional sampling","5 indv. per site"
37,"Mean kinship coefficient",0.021869366345192,0.00862926128328105,0.042841377515725,"Additional sampling","5 indv. per site"
